Price,Close,High,Low,Open,Volume
Ticker,TROW,TROW,TROW,TROW,TROW
Date,,,,,
2018-01-02,76.17466735839844,77.59351892271886,75.63520517468534,77.17968862596247,1603500
2018-01-03,77.21663665771484,77.30531699717503,76.30768713981216,76.48504218071743,1169800
2018-01-04,77.8226089477539,78.48030599523331,77.5935251063667,77.68959125062237,773500
2018-01-05,79.241455078125,79.38185855560126,77.82259796299046,77.98517575187152,1073300
2018-01-08,81.19978332519531,81.45104150833475,79.45577583522503,79.97306944144577,1675600
2018-01-09,82.58167266845703,82.89204538710753,81.77618075986194,82.12349938996233,1332500
2018-01-10,82.96595001220703,83.28371419579268,82.20479538683138,82.69252881941112,1044100
2018-01-11,83.54972839355469,83.55711982981381,81.54707765639074,82.66294773493341,1956900
2018-01-12,85.24202728271484,85.44155664434487,84.22222871243297,84.2887347409661,1361100
2018-01-16,84.59173583984375,86.93432031490805,84.48088680238934,86.10665389166675,1756500
2018-01-17,86.0031967163086,86.3948640689752,84.67302517436505,85.04251820901875,1590300
2018-01-18,85.56718444824219,86.1435925913442,85.35287784462457,85.76670817546388,1448400
2018-01-19,86.72001647949219,87.3407677264713,85.60414590564763,85.95147026981236,1719900
2018-01-22,86.75694274902344,87.37768817703522,86.31355235215577,87.09687557455582,1403700
2018-01-23,87.25944519042969,87.46636031370687,86.46133916806261,86.83083207049023,1332600
2018-01-24,86.98600769042969,88.02798025308141,86.0918356533386,87.65848739620013,1227400
2018-01-25,86.72001647949219,87.42944244888515,86.26184871231014,87.31859904586783,1201900
2018-01-26,88.6709213256836,88.6709213256836,86.57220396318944,87.11166054188021,1595600
2018-01-29,86.86779022216797,88.73003211129897,86.66826088239502,88.65613465279645,2168900
2018-01-30,83.14331817626953,84.9833917760811,82.02744771430437,84.9833917760811,2400700
2018-01-31,82.49298095703125,83.30586982904235,81.57664016441721,83.10634051027085,4146600
2018-02-01,82.8846664428711,83.29849676863226,81.73923597090527,81.74662740901252,1468600
2018-02-02,81.2071533203125,83.26892448574563,80.91894929441465,82.31563207777023,2512800
2018-02-05,77.77827453613281,82.10873283783191,77.34227551338915,80.89679627947403,2662000
2018-02-06,79.04932403564453,79.47793721841634,74.37154185205024,75.36178590748803,3212800
2018-02-07,78.71678161621094,80.46078892482608,78.56898668009728,79.01237712645367,2331800
2018-02-08,75.36917114257812,79.64050878671266,75.28049644198975,78.90891431678338,3182600
2018-02-09,76.41854095458984,77.08362380926314,73.4182541182418,76.88410008046425,3628800
2018-02-12,77.54179382324219,78.62810404190377,76.92843414851262,77.17969229636006,2370000
2018-02-13,78.13297271728516,78.24381607914725,76.27072530580126,76.81018743159225,2145900
2018-02-14,80.04696655273438,80.11347822720987,77.23143158229506,77.66003919484926,1278800
2018-02-15,80.96331787109375,81.24413620630102,79.0862924411988,80.57165612779593,1845600
2018-02-16,81.65055847167969,82.25652674322907,79.93611124207538,80.47557348238894,1415200
2018-02-20,81.22196197509766,82.00528540817183,80.35734398495048,81.11849873792123,2210300
2018-02-21,81.2514877319336,83.69014316547091,81.12586149708237,81.48796296613003,1858800
2018-02-22,81.59883880615234,82.73687800694256,81.44365241122861,81.92399447438274,1445700
2018-02-23,82.98812103271484,83.00289827038134,81.59882389542953,81.92397950424356,1535100
2018-02-26,84.3552474975586,84.38480761218261,82.57428864806467,82.98073317662583,1354100
2018-02-27,83.05462646484375,85.27158420794949,83.01028911414646,84.37002049033741,1526500
2018-02-28,82.6925277709961,84.70257042884288,82.67774489491515,83.76405512823789,1931000
2018-03-01,81.34757995605469,83.28371966113014,80.8155091357844,82.94378677884983,1753800
2018-03-02,81.53231811523438,81.69489592013258,79.92872001785697,80.96329579809068,1414400
2018-03-05,82.65557861328125,82.84032510353804,80.80811371071343,81.05937186923069,1219500
2018-03-06,83.77145385742188,83.9118630023351,82.39693943905644,82.90684158593852,1041200
2018-03-07,83.57191467285156,83.94140763146461,82.02743681209628,82.63340503870107,1162200
2018-03-08,84.37004089355469,84.60651621781889,82.91423738810903,83.89709024502629,919300
2018-03-09,86.90473175048828,87.03774942429165,84.87991217193868,84.9833697362286,939300
2018-03-12,86.5278549194336,87.93932067175683,86.41701154664581,86.90473930095672,1038200
2018-03-13,86.43920135498047,87.93934217230782,86.17316591921622,86.90476054855976,1491800
2018-03-14,85.86672973632812,87.22721694536845,85.39836779785307,87.03392228595227,1426100
2018-03-15,85.7998275756836,86.23845145970587,85.26455352117897,86.03772652524583,1037300
2018-03-16,85.89646911621094,87.10083569737183,85.82955702572292,85.91133531856485,4292100
2018-03-19,84.2757797241211,85.79238758287482,83.28700995750901,85.75521356952986,1859200
2018-03-20,83.26472473144531,85.11587639848689,83.01938980623423,84.55830011680311,3276200
2018-03-21,83.69591522216797,85.23482547398972,82.900439984211,83.53979454989144,2973300
2018-03-22,80.02335357666016,82.77406117328452,79.87466882569223,82.61794048318029,2681600
2018-03-23,77.80046081542969,80.48426116836022,77.66664231103023,80.46938929456141,2870000
2018-03-26,80.54374694824219,80.80395374153007,78.43983016267563,79.3616879947945,1636800
2018-03-27,78.8784408569336,81.56967720617683,78.49928747410506,80.89314873234473,2373400
2018-03-28,78.64799499511719,79.62932903891767,77.8748218587957,79.33195388310797,2137000
2018-03-29,80.26868438720703,81.06415967503897,78.2688422594971,78.93793494831822,1255800
2018-04-02,77.81532287597656,80.13484160480412,76.49944571271058,79.94898289591607,1737000
2018-04-03,79.13121795654297,79.17582223855203,77.51795980305955,78.12014596997473,1487200
2018-04-04,79.97130584716797,80.23894291137982,76.94552550584545,77.68152459644847,1691200
2018-04-05,79.94157409667969,80.93778006391342,79.48064797222254,80.68500918460114,1067100
2018-04-06,77.59973907470703,79.69622543480749,76.77452581543741,78.9750982881288,1512600
2018-04-09,78.00862884521484,79.76313576556139,77.88967653171953,78.04580286117177,1395300
2018-04-10,79.35423278808594,80.0084590736671,78.7892263966665,79.22041429075867,1199000
2018-04-11,78.95280456542969,79.62933322223711,78.14246303703536,78.41010012412843,1826300
2018-04-12,80.32813262939453,81.02695748638274,79.10890000780265,79.68134230971353,965800
